Observation ID,Organization,Dataset,Location name,Body of water,Latitude,Longitude,Region,Country,Water body type,Number of readings,Owner name,Date,Time,Timezone,Added at,Form,Notes,QA status,QA notes,"ph (std_units, api_saltwater_ph)","oxygen (mg_l, ysi_multimeter_do_mgl)","salinity (ppm, water_rangers_pen_type_salinity_meter_ppm)","conductivity (us_cm, other_pen_type_conductivity_meter_us_cm)","water_temperature (deg_c, water_rangers_pen_type_temperature_meter)","total_dissolved_solids_tds (ppm, other_pen-type_tds_meter)","hardness (mg_l, api_saltwater_hardness)","nitrates (mg_l, api_saltwater_nitrates)","nitrites (mg_l, api_saltwater_nitrites)","e_coli (cfu_per_100ml, idexx_colilert_2000_e_coli_geomean)"
58912,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-05,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 21764μS/cm is below the normal range of 30000.0μS/cm.,8.01,9.37,13.13,21764,17,,,,,13.66
58913,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-05,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 20767μS/cm is below the normal range of 30000.0μS/cm.,8.02,8.88,12.46,20767,16.8,,,,,4.55
58914,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-05,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 22162μS/cm is below the normal range of 30000.0μS/cm.,7.93,8.06,13.33,22162,17.3,,,,,5.041825066
58915,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-12,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 29887μS/cm is below the normal range of 30000.0μS/cm.,7.61,7.48,17.8,29887,18.8,,,,,61.82
58916,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-12,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 21369μS/cm is below the normal range of 30000.0μS/cm.,7.91,8.73,12.86,21369,19,,,,,3.14
58917,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-12,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 20490μS/cm is below the normal range of 30000.0μS/cm.,8.11,11.08,12.29,20490,20.1,,,,,33.68645121
58918,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-19,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 24657μS/cm is below the normal range of 30000.0μS/cm.,7.63,7.96,15.07,24657,19.8,,,,,7.09
58919,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-19,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 24749μS/cm is below the normal range of 30000.0μS/cm.,7.9,6.07,15.09,24749,18,,,,,16.21
58920,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-19,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 25795μS/cm is below the normal range of 30000.0μS/cm.,7.94,6.99,15.8,25795,18.9,,,,,31.38445168
58921,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-06-26,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 23110μS/cm is below the normal range of 30000.0μS/cm.,8.09,8.2,14.01,23110,19.5,,,,,1291.91
